sentence_id;cleanliness_presence;cleanliness_positive;cleanliness_negative;comfort_presence;comfort_positive;comfort_negative;amenities_presence;amenities_positive;amenities_negative;staff_presence;staff_positive;staff_negative;value_presence;value_positive;value_negative;wifi_presence;wifi_positive;wifi_negative;location_presence;location_positive;location_negative;other_presence;other_positive;other_negative;sentence
1240347806;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;"La camera è stata una vera sorpresa, semplicemente eccellente."
1240347807;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Pulita, spaziosa e soprattutto funzionale."
1240347808;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Il letto confortevole e spazioso."
1240347809;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;"La posizione è molto buona, in meno di 15 minuti si raggiunge il centro di Bologna."
1240347810;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Comodo il parcheggio adiacente e convenzionato con la struttura."
1240347811;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"La doccia seppure molto spaziosa allagava il bagno in quanto l'acqua superava velocemente il livello del piatto doccia."
1240347812;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"La brioche alla crema che ho assaggiato era veramente pessima."
1240347813;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;"Un po' caro il lounge bar."
1240346082;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;"Durante la colazione  il giorno di Pasqua  nessuno dei camerieri parlava italiano."
1240347456;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;"Un Po troppo business oriented"
1240345518;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;"Stanza ottima  superior con vista città , letto matrimoniale davvero ampio e bagno confortevole  sicuramente un soggiorno piacevole e rilassante."
1240345520;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Davvero ottima la colazione e molto pratica la possibilità di parcheggio sotterraneo."
1240345521;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;"Lo staff è stato disponibile e cortese."
1240345522;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Il parcheggio sotterraneo costa 13  al giorno e considerando che non ci sono molte alternative in zona è una scelta quasi necessaria arrivando in auto  una proposta più economica sarebbe un'ulteriore incentivo al soggiorno."
1240346088;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Letto ampio e comodo."
1240346839;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Migliorerei i cuscini  erano o troppo bassi o troppo alti."
1240346075;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Possibilità di avere bici a noleggio"
1240346777;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;"personale gentile, ottima posizione,"
1240346979;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"la stanza era silenziosa."
1240346980;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"il letto molto ampio e comodo."
1240344345;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"colazione buona e in ambiente gradevole."
1240344346;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;"Lontano dal centro, fuori le mura."
1240344626;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Ottima e varia colazione."
1240346028;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;"la posizione è buona per raggiungere il centro, la camera era confortevole.... nulla da dire ci tornerei"
1240344019;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;"Staff davvero gentile e disponibile."
1240348278;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Il ristorante e la colazione inadeguati"
1240344064;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Ottima colazione suoerassortita, camera spaziosa con letto king size."
1240344065;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Anche se in una premier la pulizia del bagno lasciava a desiderare abbiamo dovuto chiedere che venisse rifatto."
1240344066;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;"Il rapporto qualità prezzo è soddisfacente ma gli manca quel quid per potersi veramente distinguere"
1240345603;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;"WIFI OK BAGNI PULITI VICINO A STAZIONE TERMINI."
